id	date	class	matched	source	document	line	text
INL-34110172	2026-08-28	C3	corrected	inline	CLAUDE.md	20	C1–C5. (Corrected 2026-08-28, Q-353; this sentence was missed by that sweep
INL-fbd6c2f	-	C1	retracted	inline	CLAUDE.md	22	[RETRACTED_PHRASES.tsv](documentation/RETRACTED_PHRASES.tsv) and recorded in
INL-2fdd80db	-	C3	corrections	inline	CLAUDE.md	23	[CORRECTIONS.md](documentation/CORRECTIONS.md); the corrected statement of
INL-e80c1a1	-	C4	caveat	inline	CLAUDE.md	104	reverted (with reasoning) or shipped with the caveat documented.
INL-2af4c20e	2026-04-29	C3	supersedes	inline	CLAUDE.md	114	**Current standing policy (2026-04-29, supersedes the prior split rule):**
INL-1ea43015	2026-08-29	C3	corrected	inline	CLAUDE.md	116	> **Every VM other than the 2-core 8GB `claude` orchestrator must be provisioned deliberately: **enumeration on Spot**, and **merge or any workload that cannot checkpoint on Regular/Standard, right-sized**. No VM of any priority may be created or started without a teardown plan stated in the same breath. If a workload genuinely cannot tolerate eviction, do not put it on Spot — design for checkpoin [...truncated]
INL-271b0faf	2026-08-29	C3	corrected	inline	CLAUDE.md	118	⚠ **[CORRECTED 2026-08-29 — this said the blanket-Spot rule "supersedes the 2026-04-20 split policy (enumeration=Spot, merge=on-demand)". It does not, and PRACTICE HAS NEVER FOLLOWED IT: measured on the live subscription, five of the seven non-orchestrator VMs are `Regular` and only the enumeration VM is Spot. `documentation/DEPLOYMENT.md` still presents the split policy as STANDING with no supers [...truncated]
INL-290fbcd1	2026-08-30	C3	corrected	inline	CLAUDE.md	167	⚠ **[CORRECTED 2026-08-30]** This paragraph previously read: *"even merge VMs are now Spot. If a
INL-38c38b54	-	C1	withdrawn	inline	CLAUDE.md	169	systemic cost of forgotten Regular VMs."* **That is withdrawn.** Blanket-Spot made the rule
INL-3181ec19	-	C3	corrections	inline	CLAUDE.md	339	at all" ([CORRECTIONS.md](documentation/CORRECTIONS.md)). Folding it into
INL-2c463233	2026-09-02	C3	corrected	inline	CLAUDE.md	358	exist precisely to be separate. Corrected 2026-09-02; the retired wording is
INL-fbd6c2f	-	C1	retracted	inline	CLAUDE.md	360	[RETRACTED_PHRASES.tsv](documentation/RETRACTED_PHRASES.tsv) and recorded in
INL-34b4f157	-	C3	corrections	inline	CLAUDE.md	361	[CORRECTIONS.md](documentation/CORRECTIONS.md).
INL-2f32675a	2026-04-19	C1	withdrawn	inline	CLAUDE.md	446	- Compute: D128als_v7 in **westus3** (as of 2026-04-19 pivot). **Spot for enumeration and any other checkpointable work; Regular/Standard, right-sized, with a teardown plan stated in the same breath, for merge and any workload that cannot checkpoint** — per §"Cost control — VM purchase type" above. ⚠ This line previously claimed that a blanket Spot-for-everything policy superseded the enumeration= [...truncated]
INL-86dd62c	-	C2	scope note	inline	README.md	36	**What this does — and does not — mean.** Three scope notes worth carrying from the start:
INL-16d7c735	-	C4	hedged	inline	README.md	60	**The finding, precisely.** The plain sentence above compresses a hedged one; here is the full
INL-313eaeef	2026-09-01	C3	corrected	inline	README.md	72	16,504 oriented leaves represent. ⚠ **[CORRECTED 2026-09-01 — this passage previously glossed the eight
INL-76cbfc1	-	C1	retracted	inline	README.md	78	the retracted phrase wrapped a line break, which a line-based grep cannot see.]** King Wen is
INL-2ff4243e	-	C3	rounding	inline	README.md	115	wrote**, and whether the Lean proposition or the CNF says what the surrounding prose says it says is
INL-118b09b3	-	C3	corrections	inline	README.md	146	own results, plus the authorship disclosure above and the append-only corrections record in
INL-de24d32	-	C3	corrections	inline	README.md	147	[CORRECTIONS.md](documentation/CORRECTIONS.md).
INL-2ae17f20	-	C2	scope note	inline	README.md	184	| **[lean/](lean/)** | Machine-checked theorems (Lean 4): the core lemmas, four sequence-level theorems, the trigram-level structure ([TRIGRAM_STRUCTURE](documentation/TRIGRAM_STRUCTURE.md)), and the model-level merge/partition-invariance theorems (see [lean/README.md](lean/README.md) for the trust-base and scope notes). |
INL-2ed742ea	2026-08-24	C1	withdrawn	inline	README.md	191	- **The constraints do not determine the sequence.** The C1–C5 space is **estimated** at 1.33×10³⁸ orderings — a raw, orientation-explicit count; ≈3.3×10³⁷ ⚠ **[WITHDRAWN 2026-08-24 — this figure exceeds its own 31! ≈ 8.2228×10³³ ceiling by ~4,013×; see documentation/CORRECTIONS.md]** after orientation-dedup ([METHODS](reports/METHODS.md) §"Canonical quantities") — (Knuth random-probe, 95% CI [1.3 [...truncated]
INL-61e9a43	2026-08-28	C3	corrected	inline	README.md	196	jointly unsatisfiable — no C1∩C2∩C4∩C5-valid ordering can be perfect under all four. King Wen keeps one exactly and misses the others by two each ⚠ **[CORRECTED 2026-08-28 — the superlative is UNSUPPORTED. TR-2's own evidence file `reports/evidence/f11/f11_runA.out` contains `f11_hist 1 1 0` and `f11_hist 2 1 1`, both componentwise better than King Wen's `2 2 2` with nonzero measured mass. That [...truncated]
INL-348c244d	-	C3	transcription	inline	README.md	207	`score_registry` in solve.c — is a **non-Lean transcription step**, numerically validated by driving
INL-299eea94	-	C3	transcription	inline	README.md	210	validated transcription** — the same runtime-carried bridge disclosed for PartitionInvariance and
INL-3530912f	-	C4	caveat	inline	README.md	216	caveat. [TR-1](reports/TR1_EIGHT_CENTURIES_MEASURED.md)
INL-31a48b85	2026-09-02	C3	corrected	inline	README.md	247	⚠ **[CORRECTED 2026-09-02 — this bullet converted a relative standard error into a ± band,
INL-3060ea4e	-	C3	corrected	inline	README.md	256	population-typical; one uniqueness claim is corrected; the ~126-bit (C1–C5-layer) residual survives its second
