# Registry of RETRACTED phrasings — consumed by scripts/doc_gates.sh (gate 3).
#
# WHY: a correction ledger that says "this was propagated" is a CLAIM, not evidence.
# On 2026-08-01 the four-rule conflict theorem's retracted scope was still stated on the
# README front page, in TR-1's executive summary, in a figure alt-text, and in the
# CLAIMS_DECIDED row grading it REFUTED — invisible to three review passes precisely
# because TR-2's revision entry asserted the propagation was already done. This file
# makes the ledger self-enforcing: add a row when you retract something, and the gate
# fails if the retracted wording ever reappears.
#
# FORMAT (tab-separated, 3 columns):
#   <retracted fixed string>	<file allowed to narrate the retraction>	<note>
# The allow column is matched as a substring of the "file:line:" prefix, so it exempts
# the document that legitimately quotes the old wording while explaining the retraction.
#
# ADD A ROW EVERY TIME YOU RETRACT OR RESCOPE A PUBLISHED CLAIM.
#
# ============================================================================================
# THE CENSUS RULE (2026-09-02, prose batch B3 — backlog items 151 and 155)
#
# WHY IT IS HERE RATHER THAN IN A FINDING DOCUMENT. Five batches in one night each found a live
# site this registry could not have caught, for five structurally different reasons, and each
# wrote the lesson into its own row note. A lesson recorded five times in five notes is a lesson
# nobody applies at the sixth registration. This file is the one thing a batch is guaranteed to
# open when it registers a row, so the rule lives here and nowhere else. It is written as a
# checklist because that is the only form a later batch can be held to.
#
# THE PROPERTY THE WHOLE RULE DEFENDS: a needle matching nothing is NOT evidence the claim is
# gone. It may be evidence the needle cannot reach it. Every failure below is silent and
# reassuring — the census reports "1 -> 0", GATE 3 prints [ok], GATE 11 confirms the ledger
# entry, and the claim is still published. Every statement in that chain is true.
#
# ---- PART A: WHAT A CENSUS MUST GREP IN ADDITION TO THE REGISTERED WORDING -----------------
# Run all six before reporting a count. Each is a spelling in which the same claim survives.
#
#   A1. THE VALUE, ABBREVIATED. A retired number has spellings. Grep the full integer AND the
#       conventional short form, with and without digit-group commas, in every unit prefix the
#       corpus uses. (P76: one long-form occurrence and four short-form ones in one file, so a
#       grep for the integer EXONERATED it. Two earlier passes had been through that file.)
#
#   A2. THE CLAIM, RE-INFLECTED. Grep the claim's content words, not the registered sentence.
#       An adverb-plus-participle also appears as a hyphenated adjective, a noun phrase and a
#       relative clause. (P69: ten registered needles all spelled one form; the survivor was
#       the hyphenated adjective, and ZERO of the ten matched it when all were run mechanically.)
#
#   A3. CHARACTER VARIANTS. fold_variants() in scripts/doc_gates.sh normalises quotes, three
#       dash forms, the multiplication glyphs, >= and <=, four space widths and digit commas.
#       It deliberately does NOT fold backtick, ellipsis or the approximation glyphs — each a
#       measured decision recorded at the function. Grep the unfolded families by hand.
#
#   A4. THE LINE WRAP. git grep is line-based; GATE 3 flattens the file first. A claim spanning
#       a hard wrap is invisible to the grep that "cleared" it and visible to the gate, which
#       reports it as (spans-lines). Flatten before grepping, or trust the gate over your search.
#       (RP-face5c0c is such a site.)
#
#   A5. THE CORPUS BOUNDARY. GATE 3 sees the tracked *.md set plus reports/evidence/**. It does
#       NOT see .py, .c, .sh, .lean, .tsv or .txt. Grep those separately, ALWAYS, and expect
#       hits — the emitter is where a retracted claim reaches a reader who never opens a
#       document. (RP-40edf278: four roae.py sites. RP-20bac6b5: solve.py:1581 prints the
#       retired framing at run time, four lines below the docstring that withdraws it.)
#
#   A6. THE SAME CLAIM IN ANOTHER AUTHOR'S WORDS. Grep the claim's distinctive proper nouns and
#       its logical SHAPE — a boundary index near a universal negator, a named source near a
#       present-tense assertion — not its words. Needles-per-claim scales with the number of
#       people who ever wrote the claim, not with the number of files. (RP-9854018f: the same
#       universal, live in a second file, sharing NO substring with the first.)
#
# ---- PART B: HOW TO TELL WHEN NO SINGLE NEEDLE CAN COVER A CLAIM ---------------------------
# Any ONE of these is decisive. When one holds, register the sites separately and say in each
# note that it is one of N. Never widen a needle to force the sites into a single row.
#
#   B1. THE LIVE SITES' LONGEST COMMON SUBSTRING IS NOT THE CLAIM. If the shared span is a
#       neutral referent — a commit range, a constraint name, a file path — registering it is a
#       FALSE RETRACTION against wording the project still uses correctly. Measure the shared
#       span before choosing it. (Item 19: one claim, three grammars, three rows.)
#
#   B2. WIDENING WOULD SWALLOW A CORRECT LIVE USE. Test the wider needle FIRST with
#       allow=__none__ and read which files it hits; if any hit is correct prose, the wider
#       needle is dead. Measure, do not reason about it. (P68 measured and REJECTED a covering
#       needle on exactly this ground; RP-b2782ac4's note records a second rejection.)
#
#   B3. THE CLAIM IS NARRATED IN MORE THAN ONE FILE. The allow column holds ONE filename. Two
#       legitimate narrators need two rows, or one narrow needle per narrator. There is no third
#       option, and editing a faithful historical record so that a gate goes green is not one.
#       (RP-20bac6b5's note records the spelling that had to be given up for this reason.)
#
#   B4. WHAT WAS WITHDRAWN IS AN IMPLICATION OVER A TRUE PREMISE. The needle must carry the
#       implication. Registering the premise puts a false retraction on the permanent record
#       and, if a sweep follows the registration, drives correct statements out of the code.
#       (RP-9ef9344b: the premise is asserted correctly in two verifiers and one document.)
#
#   B5. THE SURVIVOR IS OUTSIDE THE CORPUS. No row can reach it. Disclose it by file and line in
#       the row note AND in the ledger entry, and say plainly that the row does not cover it. A
#       row that reads like coverage it does not provide is worse than no row at all.
#
# ---- PART C: WHAT TO REPORT ----------------------------------------------------------------
# A census result is "<before> -> <after>" PLUS which of A1-A6 were actually run. A bare "0 hits"
# is not a census; it is one grep. And a needle must match at least one site at HEAD before it is
# registered: a row whose needle has never matched anything cannot be distinguished, later, from
# a row whose claim was swept — both print [ok] forever.
# ============================================================================================

preserving the classical pairing	TR2_THE_RULES_CONFLICT	Conflict theorem rescoped 2026-07-30: the DRAT certificate establishes it at C1nC2nC4nC5 scope, not C1-only. Propagated 2026-08-01.
pairing-preserving ordering	TR2_THE_RULES_CONFLICT	Same 2026-07-30 rescope, alternate phrasing. TR-5 uses 'pairing-preserving' legitimately to describe |C1nC2nC4|, so keep this string exact.
orientation is forced by C5	SPECIFICATION	"Theorem 6" retracted 2026-07-26: C4's opening orientation is definitional, not forced; global complementation is an exact symmetry of C1nC2nC3nC5 (machine-checked, KingWen.lean).
the exact C1–C7 enumeration	CITATIONS	Retracted 2026-08-01: |C1-C7| is a validated ESTIMATE (5.21e31). The exact full-scale counts are |C1nC2nC4| and |C1nC2nC4nC5|.
14:2 odd-concentration	CRITIQUE	Corrected 2026-07-02: 14:2 is the CIRCULAR reading; the linear between-pair figure is 13:2 (TR-6 section 2). Propagated 2026-08-01.
satisfied by any ordering that preserves the classical	TR2_THE_RULES_CONFLICT	Morphological variant of the 2026-07-30 conflict-theorem rescope ("preserves" vs "preserving"). This exact form survived on SOLVE_SUMMARY.md until 2026-08-01 because the registry held only the -ing form AND the phrase spanned a line break — the two evasions the gate was hardened against.
hard floor k ≥ 13	__none__	Withdrawn 2026-08-01: the "hard information-theoretic floor" claim is retracted — the divisor 10.38 is only the UNCONDITIONAL maximum gain and the same data shows 11.10 at step 3 (giving 12), and no necessity bound follows from the argument at all. Correct label is NOT a floor at all: TR-4 v1.16 (reports/TR4_SIZE_OF_THE_SPACE.md:203-209) states the result is neither a hard NOR a heuristic floor and removed the word rather than qualifying it. Say "observed-rate extrapolation of ~12 boundaries". (This note previously read 'Correct label is "heuristic floor k >= 12"' — the INTERMEDIATE position from earlier the same day, superseded by v1.16 and never updated here, so this registry was endorsing wording its own document had withdrawn. Corrected 2026-08-09.) This phrase was found RENDERED in fig_tr4_boundary_information (matplotlib glyph paths, ungreppable) — hence GATE 6.
hard floor k>=13	__none__	ASCII variant of the same withdrawn claim (figure generators write it without the unicode >=).
hard floor ≥13	__none__	No-'k' variant of the withdrawn hard-floor claim; this exact form survived in CLAIMS_DECIDED.md's scorecard because the registry only held the 'k'-bearing string.
hard floor k >= 13	__none__	Spaced-ASCII variant of the withdrawn hard-floor claim. Added 2026-08-01: the mutation self-test injected this exact spelling and NEITHER gate 3 nor gate 6 fired, because the registry held only "k >= 13" (unicode), "k>=13" (unspaced) and ">=13" (no k). The spaced ASCII form is the most natural way to type it, and doc_gates.sh's own comments use it in two places: the container-exemption note above the DOCS= assignment, and the WHY block inside gate_figures.
trade-off optimum	__none__	Restated to "trade-off position" at TR-1 v1.14 (2026-07-20) — all four conflict rules are KW-descriptive, so a Pareto-frontier position is expected, not an efficiency result. TR-1's abstract still carried the retracted word until 2026-08-01: it survived every review AND every grep because it spanned a hard line break ("a trade-off\noptimum"), the same evasion that hid the conflict-theorem scope. TR-1 v1.14 quotes it in a revision row, which the gate exempts.
776 as the KW value; 3.9th percentile — sampled — within orderings satisfying the other constraints	CITATIONS	Flagged 2026-08-01 (lens sweep): the novelty claim for C3 must stand on 776 itself, not on the 3.9th-percentile figure, which is not supported by the C1+C2+C4+C5 population (ledger gives ~12%). See SOLVE.md Rule 3.
at the 3.9th percentile (sampled) of orderings satisfying every other constraint	SOLVE_SUMMARY	Flagged 2026-08-01 (lens sweep): the 3.9th-percentile figure is a statistic of the 13,296-ordering solve.py differential slice (range [11.75, 14.5]), not of C1nC2nC4nC5 (whose C1-C5 subset reaches 6.125). Ledger ratio 1.3287e38 / 1.097051e39 = 12.1%. See SOLVE.md Rule 3.
Each of these is machine-verifiable	__none__	Retracted 2026-08-02: SOLVE_SUMMARY.md:231 closed the "what deeper tools found" bullet list by asserting all four bullets were machine-verifiable. One of them is TR-9 bit-ledger/MDL result, which reports/README.md calls "judgment-dependent by construction" — so the sentence was false in the same way the eleven TR covers banner was before 14d8751. Registered rather than merely edited because the covers gate (GATE 9) is keyed to the covers wording and could never have seen this one.
Within every enumerated dataset to date, constraints C1–C7 plus four greedy-ordered boundary constraints single out King Wen exactly	__none__	Retracted 2026-08-02: false at the two deepest canonicals (d3 100T, d3 560T), where the greedy minimum is 5 and exhaustive test finds 0 working unordered 4-subsets. SPECIFICATION.md's own per-dataset table (the bullet reading "SUPERSEDES earlier '4 always suffice' framing") and SEARCH_SPACE_SIZE.md both carried the 2026-07-04 correction; this intro sentence did not, so the document contradicted itself. Registered on the SCOPE-BEARING wording, not the bare 4-constraint fragment: that fragment is TRUE when scoped to d2 10T / d3 10T, so registering it would false-positive on the corrected sentence — which today evades it only via the markdown bold around "four".
where 4 greedy-ordered boundary constraints do suffice	__none__	Retracted 2026-08-02: same 2026-07-04 correction, second un-propagated site — the sentence beginning "Every \"uniquely determines King Wen\" statement in the project is therefore scoped to the enumerated datasets". Corrected to name 10T depth explicitly and to state that 5 are required at canonical depth.
